page,illo,c1,c2,c3,c4,c5,details,death,bad,ok,good,win,,,,,,,,,,,,,
73.0,0.0,,,,,,you set off a security system in your attempt to escape that will hold you paralyzed for 23 years and 61 days,,x,,,,,,,,,,,,,,,,
74.0,,107.0,,,,,you wrestle with the implications for the Atlanteans of alerting the world to their existence and decide to explore space instead,,,x,,,,,,,,,,,,,,,
75.0,,,,,,,"you pretend you will spy for the Nodoors to win your escape, but your real intention is to live out your life among the Atlanteans",,,,x,,,,,,,,,,,,,,
76.0,,108.0,,,,,you agree to spy for the Nodoors and are rewarded with a prison-like room in their oppressive housing structure,,x,,,,,,,,,,,,,,,,
77.0,,,,,,,"you become an Atlantean farmer, enjoying their peaceful society and soaking up their history",,,,x,,,,,,,,,,,,,,
78.0,f,,,,,,,,,,,,,,,,,,,,,,,,
79.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,
80.0,,,,,,,you become the king’s special advisor and are rewarded with riches and the knowledge that you are creating a more equitable society,,,,,x,,,,,,,,,,,,,
81.0,,116.0,117.0,,,,,,,,,,,,,,,,,,,,,,
82.0,,112.0,114.0,,,,,,,,,,,,,,,,,,,,,,
83.0,f,,,,,,,,,,,,,,,,,,,,,,,,
84.0,f,,,,,,,,,,,,,,,,,,,,,,,,
85.0,,,,,,,you hitch a ride to the surface on a whale and are eventually rescued,,,x,,,,,,,,,,,,,,,
86.0,,,,,,,"you join the revolutionaries, planning to escape during the revolt, but get swept up in the fervor and contribute to the bloodless overthrow of the king",,,,,x,,,,,,,,,,,,,
87.0,0.0,,,,,,you avoid the menacing whale and are whisked back to the surface by a mysterious submarine’s tow line,,,x,,,,,,,,,,,,,,,
88.0,,95.0,96.0,,,,,,,,,,,,,,,,,,,,,,
89.0,,,,,,,"you suspect your instruments are malfunctioning and decide not to dive to the earth’s core, abandoning your quest in the process",,,x,,,,,,,,,,,,,,,
90.0,,101.0,102.0,,,,,,,,,,,,,,,,,,,,,,
91.0,,103.0,104.0,,,,,,,,,,,,,,,,,,,,,,
92.0,f,,,,,,,,,,,,,,,,,,,,,,,,
93.0,,,,,,,your attempts to blast the hatch open overheat your laser cannon leading to your craft’s disintegration,x,,,,,,,,,,,,,,,,,
94.0,,105.0,106.0,,,,,,,,,,,,,,,,,,,,,,
95.0,,,,,,,"you attempt to flee the Atlanteans and fall unconscious, eventually awakening in floating in the middle of an empty ocean with no hope of rescue",x,,,,,,,,,,,,,,,,,
96.0,,110.0,111.0,,,,,,,,,,,,,,,,,,,,,,
97.0,0.0,,,,,,"you blast your way to the surface and climb atop an enormous whale, allowing you to wave down your ship and ensure your safe return",,,,x,,,,,,,,,,,,,,
98.0,,,,,,,you struggle against the whirlpool and awake with a serious head injury. you hear a helicopter in the distance but it may be too late,x,,,,,,,,,,,,,,,,,
99.0,,,,,,,you swim up the center of the whirlpool and escape to your ship with an unbelievable story,,,,x,,,,,,,,,,,,,,
100.0,,55.0,,,,,,,,,,,,,,,,,,,,,,,
101.0,,,,,,,you decline to become a being of pure energy and instead spend years giving lectures on the details of your society until one day you discover you have been transformed into nothing but light,,,,x,,,,,,,,,,,,,,
102.0,0.0,,,,,,you join the Atlanteans in becoming an incorporeal being unconstrained by physiology or the bounds of space and time,,,,,x,,,,,,,,,,,,,
103.0,,,,,,,you become an undersea farmer in the fields outside Atlantis,,,,x,,,,,,,,,,,,,,
104.0,,,,,,,you become a great musician playing instruments that produce not audible sound but vibrations felt through the water,,,,,x,,,,,,,,,,,,,
105.0,0.0,,,,,,you tour the underwater lab and have a nice meal with the scientists before being released with a warning never to return,,,,x,,,,,,,,,,,,,,
106.0,0.0,,,,,,you have stumbled onto a secret military base and will be held as their prisoner for the rest of your life,,x,,,,,,,,,,,,,,,,
107.0,,,,,,,"you are desperate to return to Atlantis and wait out a week-long storm, only to discover when the clouds clear that Atlantis is floating overhead",,,x,,,,,,,,,,,,,,,
108.0,s,109.0,,,,,,,,,,,,,,,,,,,,,,,
109.0,s,,,,,,you enlist with a group of Nodoors attempting escape but are vaporized by the guards’ lasers,x,,,,,,,,,,,,,,,,,
110.0,0.0,,,,,,after thought-traveling in Atlantis for a millennium you return to Earth and discover a post-industrial eco-utopia,,,,,x,,,,,,,,,,,,,
111.0,,,,,,,you are offered the chance to return to Earth but would rather remain a thought-traveler forever,,,,,x,,,,,,,,,,,,,
112.0,0.0,,,,,,you help the Atlanteans beat back the flood waters,,,,x,,,,,,,,,,,,,,
113.0,f,,,,,,,,,,,,,,,,,,,,,,,,
114.0,,,,,,,you abandon the the Atlanteans as they attempt to stop the flood and escape to your craft in the confusion,,,,x,,,,,,,,,,,,,,
115.0,f,,,,,,,,,,,,,,,,,,,,,,,,
116.0,0.0,,,,,,you are captured by soldiers and thrown into the king’s dungeon,,x,,,,,,,,,,,,,,,,
117.0,,,,,,,"you escape the soldiers by enlisting the help of a theaterful of bystanders, forming the core of your successful revolt overthrowing the king",,,,,x,,,,,,,,,,,,,
