pos,seq,section,subsection,pages,notes,year,month,date,head,subhead,capsule,plotlines,themes
34,70,11,4,95-97,,2009,11,"3 November Y.D.A.U., 1640h.",The connectedness of all events,Pop quiz in the shower room,"Locker room banter at ETA. Troeltsch, Pemulis, Wayne, Stice, Struck, Freer, and Hal are present.","E.T.A., Hal, Tech","Recur, Waste"
35,46,11,5,97,,2009,4,30 April Y.D.A.U.,"Night, emerging","Marathe and Steeply, silent at dusk",Marathe and Steeply continued.,"A.F.R., O.U.S.",Boundaries
36,71,11,6,97-105,43,2009,11,3 November Y.D.A.U.,A grief felt in the bones,Exhausted in the ETA shower room,More banter in the locker room. Complaints about Schtitt’s expectations of them.,E.T.A.,"Recur, Cycles, Waste"
37,47,11,7,105-109,44-45,2009,4,30 April Y.D.A.U.,"Attached, fanatically; A citizen of nothing",Marathe and Steeply debate Helen of Troy,Marathe and Steeply continued. Talk of love...,"A.F.R., O.U.S., Samizdat","Recur, Boundaries, Choice"
38,72,11,8,109-121,46,2009,11,3 November Y.D.A.U.,Deeply alone,ETA Big Buddy Meetings,"Hal with his “little buddies” Kent Blott, Idris Arslanian, Ingersol. He convinces them that their resentment of Schtitt is engineered by Schtitt and his staff. Switches to John Wayne, Pemulis, Schacht, Troeltsch, Struck, and Stice, each with his group of younger students. (Pemulis has switched from drug talk to bilking his buddies in a game of three-card monty).","E.T.A., Hal","Recur, Cycles, Isolation, Boundaries, Choice"
39,64,11,9,121-126,,2009,10,mid-October Y.D.A.U.,Secret minutes alone,USS Millicent Kent seduces Mario!,Mario Incandenza’s First and Only Even Remotely Romantic Experience Thus Far with the “USS” Millicent Kent.,"E.T.A., Hal, Mario","Recur, Phys/Ob"
40,48,11,10,126-127,47-48,2009,4,30 April Y.D.A.U.,Some sort of game,Marathe and Steeply: Anti Entertainment,Marathe and Steeply continued.,"A.F.R., O.U.S., Samizdat","Recur, Secrets, Memory"
41,49,11,11,127,,2009,4,30 April Y.D.A.U.,Your walled nation,“Your murated nation.”,Marathe and Steeply continued. (One line.),"A.F.R., O.U.S.","Memory, Boundaries"
42,34,12,1,127-128,,2009,,early Y.D.A.U.,Off the sweat of others,"Lyle, the sweat licking guru",Nameless ETA kid talks about Lyle.,E.T.A.,Recur
43,19,12,2,128-135,,2008,12,24 December Y.D.P.A.H.,Wet work,Wo dranos C; Poor Tony wants the stole,"“yrstruly” narrates a story involving C, Poor Tony, and Dr. Wo in Chinatown. C overdoses. (This could be Clenette).",AA&R,"Recur, Waste, Phys/Ob"
44,75,13,1,135-137,,2009,11,3 November Y.D.A.U.,About separation,Orin calls Hal: he’s very hot.,Hal receives a phone call from Orin who asks him about Canadian Separatism.,"Hal, Orin","Recur, Isolation"
45,22,13,2,137-138,49-51,2008,,unspecified,Tradition of anonymity,Ennet House & its anonymous founder,"Introduction to the Ennet House rehab facility, founded in YW.","Ennet, Avril","Isolation, Choice"
46,17,13,3,138-140,,2008,6,26 June Y.D.P.A.H.,Trying to do the job alone,Absurd Workmen’s Comp claim,Excerpt from a letter to State Farm detailing a bricklayer’s bizarre accident.,AA&R,"Recur, Isolation"
47,12,13,4,140-142,,2005,2,21 February Y.P.W.,Riding lonely herd in paradise,"Hal’s term paper, reprinted","Hal’s seventh-grade essay comparing Hawaii-Five-O’s Steve McGarrett with Hill Street Blues’ Frank Furillo. (Hal's image of “the hero of non-action, the catatonic hero, the one beyond calm, divorced from all stimulus …” could describe both himself and Gately).","E.T.A., Hal, Art/Ent","Recur, Isolation, Non-Action"
48,61,13,5,142-144,,2009,8,10 August Y.D.A.U.,Kept from the light of public knowledge,Steeply’s “Artifical Heart Purse Snatch” piece,Helen Steeply’s Moment article about a woman who carried her artificial heart in her purse and was mugged. Poor Tony Krause was the purse snatcher.,"AA&R, O.U.S., Jim, Orin, Tech","Recur, Secrets, Phys/Ob, Time"
49,23,13,6,144,,2008,,unspecified,Opposition to interdependence,,Alphabetic list of anti-ONAN/separatist groups.,"A.F.R., O.N.A.N.",Isolation
50,27,13,7,144-151,,2009,,By Y.D.A.U.,Reluctant to leave home,The Rise and Fall of Videophony,Why video phones didn’t work.,Tech,"Cycles, Inf/Reg, Secrets, Isolation"
51,65,14,,151-156,52-55,2009,10,15 October Y.D.A.U.,Closely monitored,Buying Urinalysis/Hal & Pemulis bio,Urine tests at ETA. Pemulis sells clean samples,"E.T.A., AA&R, Hal, Mario","Recur, Cycles, Waste"
52,1,15,1,157-169,,1960,11,Winter 1960,Desperately forward toward the net,James Sr. lectures James; Ruined Knees,"Hal’s grandfather, James Incandenza’s father, narrates, addressing 10-year-old Jim. Discusses Marlon Brando, tennis, and his own father’s reaction when he blew out his knee at a match.","AA&R, Jim","Recur, Cycles, Inf/Reg, His/Father, Boundaries, Phys/Ob, Loss"
53,79,15,2,169-171,56-57,2009,11,"4 November Y.D.A.U., around lunchtime","Kinetic even in stasis, plowing temporally ahead",,Pemulis scores some DMZ from the Antitoi brothers.,"E.T.A., AA&R, Hal","Recur, Waste, Time"
54,14,15,3,172-176,,2007,4,April YUSHITYU,Fall forward into the court,“How To Be A Feral Tennis Prodigy”,"Hal’s narration of ‘Tennis and the Feral Prodigy’, a film by Mario Incandenza.","E.T.A., Hal, Jim","Recur, His/Father"
55,80,15,4,176-181,58-59,2009,11,"4 November Y.D.A.U, 1300h.-1500h.","How come I can’t stop, if I want to stop",,Selected transcripts from Pat Montesian’s logbook at Ennet House. Voices of recovering drug and alcohol abusers.,Ennet,"Recur, Cycles, Waste, Phys/Ob"
56,66,16,1,181-193,60-66,2009,10,"22–23 October Y.D.A.U., approx. 0000h–0101h.","Over time some kind of pattern emerges, a trend or rhythm",Madame Psychosis,"At WYYY, ‘60± with Madame Psychosis’, is about to air. The late shift engineer goes to the roof to drink a Millennial Fizzy and listen to the show. Mario listens to the show at HmH with Hal, who is now 17.","Hal, Joelle, Mario, Avril","Recur, Fear/Obsess, Cycles, Secrets, Isolation, His/Father, Boundaries, Loss"
57,77,16,2,193-198,67,2009,11,early November Y.D.A.U.,Seven moons orbiting a dead planet,Ennet Complex (EMPHH) layout,Description of Units 1–7 of the Enfield Marine Public Health Hospital complex where Ennet House is located.,"Ennet, Gately","Recur, Fear/Obsess, Inf/Reg, Isolation, Non-Action, Phys/Ob"
58,85,16,3,198-200,68,2009,11,"6 November Y.D.A.U., 1610h.",Various resistance-systems,"Weight Room, ETA",Freer and Kornspan work out while Rader consults with Lyle. Pemulis eavesdrops.,E.T.A.,"Recur, Non-Action, Phys/Ob"
59,81,16,4,200-211,69-72,2009,11,beginning 4 November Y.D.A.U.,"Many exotic new facts, intoxicated impulses",Tiny’s tattoo jones,"More detailed introduction to Ennet House and its residents. “New resident” Tiny Ewell has an obsession with tattoos. Kate Gompert now a resident, too.","AA&R, Ennet","Recur, Fear/Obsess, Inf/Reg, Secrets, Loss"
60,82,16,5,211-219,73-77,2009,11,4-5 November Y.D.A.U,The window of opportunity,The Incredibly Potent DMZ,Michael Pemulis explains that he has scored some DMZ from the Antitois. He stores it in his sneaker in the ceiling of subdorm B.,"E.T.A., AA&R, Hal","Recur, Fear/Obsess, Inf/Reg"
61,89,17,1,219-223,,2009,11,7 November Y.D.A.U.,She lost the ability to lie to herself,Joelle ponders demapping herself…,Joelle goes to Molly Notkin’s thesis party.,"AA&R, Joelle, Jim","Recur, Secrets, Inf/Reg, Isolation, Boundaries, Time, Loss"
62,35,17,2,223,78,2009,,early Y.D.A.U.,Subsidized time primer,,A chronology of ONAN’s revenue-enhancing Subsidized Time.,O.N.A.N.,"Secrets, Inf/Reg, Waste, Isolation, Time"
63,90,17,3,223-226,79,2009,11,November Y.D.A.U.,Unconstrained concealment,...Joelle continues her contemplation...,"Joelle thinks about Orin and his father, the “world’s best hailer of Boston cabs.”","AA&R, Samizdat, Joelle, Jim","Recur, Fear/Obsess, Memory"
64,36,17,4,227,,2009,,early Y.D.A.U.,H.P. Steeply: Curriculum Vitae,,Helen Steeply’s (Putative) Curriculum Vitae.,O.U.S.,Secrets
65,91,17,5,227-240,80-81,2009,11,7 November Y.D.A.U.,The encaged rapacious thing inside,...Joelle finishes the job.,Joelle attempts to overdose in the bathroom at a party of cinema graduate students,"AA&R, Samizdat, Joelle, Jim","Recur, Cycles, Secrets, Inf/Reg, Waste, Isolation, Memory"
66,16,18,1,240-242,,2008,,Y.D.P.A.H.,Waiting underground for anyone who digs,"Enfield, MA, and environs","Geographical description of Enfield, MA.","E.T.A., O.N.A.N.","Recur, Phys/Ob"
67,83,18,2,242-258,82-84,2009,11,5 November Y.D.A.U.,Stained-family-linen-type questions,Hal relates James’s suicide to Orin,"Hal and Orin on the telephone. Orin wants to discuss Himself’s suicide. Meanwhile, Hal is clipping his toenails and making miraculous shots into the wastepaper basket.","Hal, Jim, Orin","Recur, Fear/Obsess, Secrets, Memory"
68,86,19,1,258-270,85-89,2009,11,6 November Y.D.A.U.,Competitive tennis is largely mental,Port Washington tournament,"Tennis meet at Port Washington Tennis Academy, Long Island, N.Y. Descriptions of Hal and John ‘No Relation’ Wayne playing their respective matches. Pemulis vomits.","E.T.A., AA&R","Recur, Fear/Obsess"
69,84,19,2,270-281,90-91,2009,11,6 November Y.D.A.U.,The disease makes its command headquarters in the head,,"Gately, substance-free for 421 days, is now staff at Ennet House. Geoffrey Day, Charlotte Treat, and Randy Lenz are introduced. Pat Montesian has entry interviews at 0900h with two women and one man (presumably Gompert, Clenette, & Tiny).","Ennet, Gately","Recur, Fear/Obsess, Isolation, Time, Loss"
70,87,19,3,281-283,92,2009,11,"6 November Y.D.A.U. to 7 November Y.D.A.U., 0030h.",The whole mammoth travelling squad,Bus ride back from Port Washington,ETA returns from Long Island triumphant.,"E.T.A., AA&R",Recur
71,37,20,1,283-299,93-101,2009,,early Y.D.A.U.,"The roar gathering, tidal, amniotic","Orin: Punting, Joelle: Filming","The story of Orin and Joelle van Dyne, the Prettiest Girl of All Time. His switch from tennis to football in college.","E.T.A., Joelle, Orin","Recur, Fear/Obsess, Inf/Reg, Isolation, His/Father"
72,152,20,2,299-306,102-103,2009,11,14 November Y.D.A.U.,A rushing train roar that was no train on Earth,Poor Tony withdraws and crashes spectacularly,Poor Tony goes through withdrawal in a bathroom stall of the Boston public library in Copley. Leaves for the Antitois’.,AA&R,"Recur, Secrets, Waste, His/Father, Time"
73,88,21,1,306-312,104-112,2009,11,7 November Y.D.A.U.,Separation and return’s real meaning,Prorected Syllabus; Troeltsch’s play-by-play; Mirrors across I-87,Description of ETA’s academic classes. Schacht taking an exam on psychopathological double-binds. Troeltsch broadcasts the results of the Port Washington meet on ETA’s intercom. Hal is in Theirry Poutrincourt’s class on Canadian political history. Some details of anti-ONAN activity (e.g. large mirrors across highways).,"E.T.A., Hal, A.F.R., Mario, Orin, Avril, O.N.A.N.","Recur, Cycles, Secrets, Waste, His/Father, Choice"
74,38,21,2,312-317,113-119,2009,,early Y.D.A.U.,Buttressed on sets Himself had him help erect,“Every Inch Of Mario Incandenza”,"Mario’s surprise birth, and a description of some of his deformities.","E.T.A., Hal, Mario, Jim, Orin, Avril","Recur, Secrets, His/Father, Phys/Ob, Time, Choice"
75,50,21,3,317-321,,2009,5,30 April / 1 May Y.D.A.U.,"Not someout outside you, this enemy",Marathe and Steeply: Children and Freedom,Marathe and Steeply continued.,"A.F.R., O.U.S., Samizdat","Recur, Cycles, Inf/Reg, Isolation, His/Father, Non-Action, Choice"
76,92,22,1,321-342,120-130,2009,11,"8 November Y.D.A.U., 1400h.–1600h.",Degenerating into chaos,ESCHATON!,Interdependence Day. Gaudeamus Igitur.,"E.T.A., Hal","Recur, Inf/Reg, Waste, Non-Action, Boundaries"
77,104,22,2,343-367,131-141,2009,11,"8 November Y.D.A.U., 2000h.-2045h.",This cliffish nexus of exactly two total choices,Real dependence/Boston AAs (longest chapter),"Boston AA meeting. Description of several speakers, and the “crocodiles.” Gately is curious about “brand-new girl” Joelle.","AA&R, Ennet, Gately, Joelle","Recur, Inf/Reg, Secrets, Boundaries, Choice, Dreams"
78,24,22,3,367,,2008,,unspecified,Changed each 1 Jan.,,The product placement on the Statue of Liberty is changed annually.,O.N.A.N.,Cycles
79,105,22,4,367-375,142-143,2009,11,"8 November Y.D.A.U., 2045h.-2130h.",One particular seminally scarring night,,Boston AA meeting. A young girl describes her foster father sexually abusing her paraplegic stepsister...,AA&R,"Recur, Inf/Reg"
80,51,22,5,375,,2009,5,30 April / 1 May Y.D.A.U.,Back in the field of duty,Marathe unsure of Steeply,Marathe and Steeply continued.,"A.F.R., O.U.S.","Recur, Secrets"
81,8,22,6,375-376,144-145,2002,2,early Y.W.,Found drama,Himself visits Lyle,James Incandenza’s ‘Found Drama’ came out of a late-night session with Lyle in the “first brutal winter night early in the ONANite temporo-subsidized era.”,"Jim, Orin, Art/Ent",Recur
82,106,22,7,376-379,,2009,11,"8 November Y.D.A.U., 2045h.-2130h.",The arrow of responsibility,Why Deny the Marcescent Child?,Boston AA meeting. Story of baby’s death.,AA&R,"Recur, Inf/Reg"
83,7,22,8,379,146,1999,,c. 1999-2001,The Odd Couple of libations,,James Incandenza and Lyle in the weight room.,"E.T.A., Jim, Mario",Recur
84,95,23,1,380-386,147-151,2009,11,"8 November Y.D.A.U., 1930h.-2018h.","Sucrotically mad, the gala but rather ironic annual celebration",ETA Gala: “ONANTiad of Mario”,Mario Incandenza’s film interpretation of the formation of ONAN.,"E.T.A., Mario, Art/Ent, O.N.A.N.","Recur, Fear/Obsess, Secrets, Waste"
85,96,23,2,386-390,152-153,2009,11,"8 November Y.D.A.U., 1930h.-2018h.","Stunted desire, snared by something untrue",ETA Gala/Lyle,"Lyle in the weight room with sweaty ETA students, including Anton ‘Booger’ Doucette. Return to Mario’s film, which is now covering major political events with a montage of newspaper headlines. History of ONAN.",E.T.A.,"Recur, Fear/Obsess"
86,97,23,3,391-394,,2009,11,"8 November Y.D.A.U., 1930h.-2018h.","Historical headers, a whole bright spanking new millennium",,Reconfiguration headlines,O.N.A.N.,"Recur, Fear/Obsess, Cycles, Waste"
87,98,23,4,394-395,,2009,11,"8 November Y.D.A.U., 1930h.-2018h.",Do not underestimate objects,Lyle’s levitating chair story,"Lyle tells Ortho ‘The Darkness’ Stice, “Do not underestimate objects.” Stice’s bed has been moving at night.",E.T.A.,"Recur, Phys/Ob"
88,99,23,5,395-398,154-155,2009,11,"8 November Y.D.A.U., 1930h.-2018h.","Severe compulsion issues, audience-obsessed pieces",James O.’s Films,"Hal watching Mario’s film. Descriptions of Himself’s ‘The Medusa vs. the Odalisque’, ‘Eyeball’, and ‘The Joke’.","Hal, Jim, Mario, Art/Ent","Recur, Non-Action"
89,100,23,6,398-410,156-160,2009,11,"8 November Y.D.A.U., 1930h.-2018h.",Willing to eliminate own map out of sheer pique,More ONANtiad/Clipperton,"Continuation of Mario’s film, with more headlines and a puppet show of Gentle and Rodney Tine, Chief, US Office of Unspecified Services. The story of Eric Clipperton and his Glock 17 semiautomatic.","E.T.A., Jim, Mario, O.N.A.N.","Recur, Fear/Obsess, Secrets, Waste, Boundaries"
90,101,23,7,410-418,161-168,2009,11,"8 November Y.D.A.U., 1930h.-2018h.",The vulnerable psyche of an increasingly hygiene-conscious U.S.A.,"Hal’s Paper: Broadcast Networks & Advertising fold, InterLace Emerges","Hal watching Mario’s film. History of Interlace, proliferation of advertising, and garbage in space.","Hal, Art/Ent, O.N.A.N.","Recur, Fear/Obsess, Inf/Reg, Waste, Non-Action, Choice"
91,52,23,8,418-430,169-174,2009,5,30 April / 1 May Y.D.A.U.,Knowledgeable choices about pleasure and delay,Freedom to choose?,Marathe and Steeply continued.,"A.F.R., O.U.S.","Recur, Secrets, Inf/Reg, Phys/Ob, Choice"
92,102,23,9,430-434,175,2009,11,"8 November Y.D.A.U., 1930h.-2018h.",The Clipperton suite,,Eric Clipperton’s suicide in an ETA dorm.,"E.T.A., Mario","Recur, Fear/Obsess"
93,107,23,10,434-436,,2009,11,"9 November Y.D.A.U., 0430h.-0801h.",Human waste in the showers,Gately & Stavros janitize Shattuck,Gately’s other job: cleaning bathrooms.,Gately,"Recur, Inf/Reg, Waste"
94,103,23,11,436-442,176-177,2009,11,"8 November Y.D.A.U., 1930h.-2018h.",A desolate late-day hysteria,Cyanide Quik/Subsidized time cabinet mtg.,"Mario’s film continued. Headlines and puppets, origin of subsidized time.","E.T.A., O.N.A.N.",Recur
95,60,24,1,442-449,178-179,2009,6,July Y.D.A.U.,Burpling greasily up into memory,"AA: Gately on God, Mom, and memories",Gately’s relationship with ‘the crocodiles’. He remembers the death of his mother.,"AA&R, Gately","Recur, Fear/Obsess, Memory, Choice, Dreams"
96,67,24,2,449-450,180,2009,10,Very Late October Y.D.A.U.,Like somebody’s mind coming apart,,Hal’s dental nightmare. Mario misses Joelle,"Hal, Mario","Recur, Fear/Obsess, Dreams"
97,108,24,3,450-461,181-187,2009,11,"9 November Y.D.A.U., 0600h.–0730h.",The game’s two heads’ one world,,Morning drills at ETA and Schtitt’s lecture.,"E.T.A., Hal","Recur, Fear/Obsess, Boundaries"
98,93,24,4,461-469,188-197,2009,11,8 November Y.D.A.U.,Like your mind wasn’t in possession of your body,"Gately shops, cooks, drives Pat’s Aventura","Don Gately’s responsibilities at Ennet House. His boss, Pat Montesian.","Ennet, Gately","Recur, Inf/Reg, Phys/Ob"
99,53,24,5,470-475,198,2009,5,1 May Y.D.A.U.,"The Department of Euphoria, so to speak, within the human brain",P-terminals,Marathe and Steeply continued. Discussion of BS government experiments on human subjects...,"A.F.R., O.U.S., Samizdat","Recur, Inf/Reg"
100,94,24,6,475-489,199-207,2009,11,"8 November Y.D.A.U., 1800h.",Lucien’s leonine head is tilted back,"Gately cruises; AFR skewer & spike Lucien & Bertraund, respectively, though not in that order",Gately out in Pat M.’s car picking up special food for Joelle. The Anitois’ store. Arrival of and interrogation by Fortier and the AFR. (Midpoint of novel).,"A.F.R., Gately, Joelle","Recur, Cycles, Fear/Obsess, Inf/Reg, Waste"
101,54,25,1,489-491,,2009,5,1 May Y.D.A.U.,"A ring of smaller and palsied fires, hologrammatical activity",Haven’t you been tempted?,Marathe and Steeply continued.,"A.F.R., O.U.S., Samizdat","Recur, Cycles, His/Father"
102,2,25,2,491-503,208,1963,11,Winter 1963,Somersaults with one hand nailed to the floor,Chapter 16 of “The Awakening Of My Interest In Annular Systems”,Jim Incandenza helps his father fix a mattress...,"AA&R, Jim, Tech","Recur, Waste, His/Father, Memory"
103,109,25,3,503-507,,2009,11,9 November Y.D.A.U.,"NA’s traditional huge circle, indiscriminate hugging",,The Roy Tony & Ken Erdedy hugging set-to.,"AA&R, Ennet","Recur, Cycles, Isolation, Non-Action"
104,55,25,4,507-508,,2009,5,1 May Y.D.A.U.,"The stars’ light had paled, empty of intent",We’ve lost some people...,Marathe and Steeply continued.,"A.F.R., O.U.S., Samizdat","Recur, Inf/Reg"
105,111,25,5,508-527,209-221,2009,11,10 November Y.D.A.U.,"Seeming to recede, pulsing with swollen proximity",Eschaton reprisals/In CT’s Waiting Room,"Hal anticipates an official scolding from Charles Tavis for the Eschaton game. He waits in ‘Lateral’ Alice Moore’s office, overhears Avril counseling the pre-teen female ETAs.","E.T.A., AA&R, Hal, Avril","Recur, Fear/Obsess, Cycles, His/Father, Memory"
106,56,25,6,528-530,222-223,2009,5,1 May Y.D.A.U.,"False dawns, a stillness, just below the ring of night","Dawn, L’Odalisque de Ste. Thérèse",Marathe and Steeply continued.,"A.F.R., O.U.S., Samizdat","Recur, Cycles, Secrets, Non-Action, Loss"
107,118,25,7,531-538,,2009,11,"11 November Y.D.A.U., 0450h.","Around in circles, annular and insidious, deformed with beauty",Gately & Joelle: So What’s Behind The Veil?,Discussion between Gately and Joelle. The latter explains her membership in UHID.,"AA&R, Ennet, Joelle, Gately","Recur, Cycles, Secrets, Loss"
